iter	Passed	Remaining
804	9380	2272
805	9391	2260
806	9402	2248
807	9413	2236
808	9425	2225
809	9436	2213
810	9446	2201
811	9457	2189
812	9468	2177
813	9480	2166
814	9490	2154
815	9501	2142
816	9512	2130
817	9523	2118
818	9534	2107
819	9545	2095
820	9556	2083
821	9567	2071
822	9578	2060
823	9591	2048
824	9604	2037
825	9615	2025
826	9626	2013
827	9638	2002
828	9650	1990
829	9662	1979
830	9673	1967
831	9684	1955
832	9695	1943
833	9706	1931
834	9717	1920
835	9728	1908
836	9739	1896
837	9750	1885
838	9761	1873
839	9773	1861
840	9784	1849
841	9795	1838
842	9809	1826
843	9820	1815
844	9831	1803
845	9843	1791
846	9853	1779
847	9865	1768
848	9876	1756
849	9887	1744
850	9899	1733
851	9910	1721
852	9921	1709
853	9931	1697
854	9942	1686
855	9953	1674
856	9964	1662
857	9976	1651
858	9987	1639
859	9998	1627
860	10009	1615
861	10021	1604
862	10035	1593
863	10046	1581
864	10058	1569
865	10070	1558
866	10080	1546
867	10091	1534
868	10102	1522
869	10113	1511
870	10125	1499
871	10136	1487
872	10147	1476
873	10158	1464
874	10170	1452
875	10181	1441
876	10192	1429
877	10203	1417
878	10214	1406
879	10228	1394
880	10240	1383
881	10251	1371
882	10262	1359
883	10273	1348
884	10284	1336
885	10295	1324
886	10307	1313
887	10318	1301
888	10329	1289
889	10340	1278
890	10351	1266
891	10362	1254
892	10373	1243
893	10385	1231
894	10397	1219
895	10408	1208
896	10419	1196
897	10430	1184
898	10444	1173
899	10456	1161
900	10468	1150
901	10479	1138
902	10490	1126
903	10501	1115
904	10512	1103
905	10522	1091
906	10533	1080
907	10544	1068
908	10555	1056
909	10565	1044
910	10576	1033
911	10587	1021
912	10598	1009
913	10608	998
914	10619	986
915	10631	974
916	10642	963
917	10653	951
918	10668	940
919	10680	928
920	10690	917
921	10701	905
922	10712	893
923	10722	881
924	10733	870
925	10744	858
926	10755	846
927	10766	835
928	10777	823
929	10788	812
930	10799	800
931	10809	788
932	10820	777
933	10831	765
934	10843	753
935	10853	742
936	10864	730
937	10876	718
938	10891	707
939	10903	695
940	10914	684
941	10925	672
942	10937	661
943	10948	649
944	10959	637
945	10971	626
946	10982	614
947	10994	603
948	11005	591
949	11016	579
950	11028	568
951	11039	556
952	11050	544
953	11061	533
954	11072	521
955	11085	510
956	11098	498
957	11110	487
958	11121	475
959	11132	463
960	11143	452
961	11155	440
962	11166	429
963	11177	417
964	11189	405
965	11200	394
966	11211	382
967	11223	371
968	11234	359
969	11245	347
970	11256	336
971	11268	324
972	11278	312
973	11290	301
974	11305	289
975	11317	278
976	11328	266
977	11339	255
978	11351	243
979	11362	231
980	11373	220
981	11384	208
982	11395	197
983	11405	185
984	11416	173
985	11428	162
986	11439	150
987	11449	139
988	11461	127
989	11472	115
990	11483	104
991	11495	92
992	11506	81
993	11519	69
994	11533	57
995	11544	46
996	11555	34
997	11566	23
998	11577	11
999	11588	0
